LHS,RHS,Count
VBD,traced,1
NN,user,2
NNP,Hunter,1
JJ,valid,1
NN,billing,1
NN,address,1
VBD,suspected,1
NN,intruder,1
JJ,precocious,1
NNS,students,2
VBG,breaking,2
NN,tracking,1
VP,"VBD ADJP-PRD PP , PP , SBAR",1
NNS,clues,1
NN,hacker,7
VP,VBD RB PP-LOC-PRD,1
PP-LOC-PRD,PP CC PP,1
NN,campus,1
VBG,Finding,1
VP,VBD NP-PRD PP,2
NN,obsession,1
NN,midnight,1
NN,requisition,1
NP,PDT DT NNS,3
NNS,printers,1
VB,lay,1
PP-CLR,RB NP,2
RB,on,3
VB,monitor,2
NP,PDT DT NN NNS,1
NNS,lines,4
VBG,discovering,1
JJ,dormant,1
JJ,legitimate,1
NNP,Joe,1
NNP,Sventek,2
VBD,rigged,1
NP,"NP , PP , SBAR",1
NN,alarm,2
JJ,portable,1
NN,beeper,1
VB,alert,3
VP,VBD PP-CLR ADVP-TMP,1
NNS,nights,1
VBD,slept,1
NN,desk,1
NN,boss,1
VBD,complained,2
NN,neglect,1
NNS,chores,2
VBG,pawing,1
JJ,accessible,1
JJ,stepping,1
NNS,stones,1
NP,NP PP VP,10
NN,military,2
NP,DT NNP NNPS NN NN,1
NNPS,Sands,1
NN,missile,1
NNP,CIA,4
NN,contractor,1
NNP,Mitre,1
NNS,targets,3
VP,VBD ADVP-TMP,3
VP,"VBD ADVP , S-ADV",1
VP,VBG PRT NP S-PRP,1
S,NP-SBJ ADJP-PRD S-PRP,1
JJ,open,4
VBG,arousing,1
NN,suspicion,1
S,"ADVP-TMP , SBAR-ADV , NP-SBJ VP .",1
RB,Sometimes,1
VP,VB PP-DIR-PRD,1
NN,file,1
VP,VB NP PP-LOC S-PRP,1
VB,drag,1
NN,keychain,1
NN,terminal,1
VP,VP CC VP S-PRP,2
JJ,static,1
VB,slow,4
VB,frustrate,1
NN,quarry,1
NNP,FBI,1
RB,initially,2
VP,VBN NP ADVP-CLR PP-LOC-CLR,1
VBN,tangled,1
JJ,legal,8
JJ,red,2
NN,tape,1
NN,counterespionage,1
PRP,One,2
VP,"VP , CC VP , PP",1
VBZ,learns,1
NN,book,3
JJ,crippling,1
FRAG,`` FRAG '' SBAR-PRP .,1
FRAG,S,1
VBZ,Seems,1
NNP,Security,1
VP,VB PRT PP,2
RP,on,6
RB,Finally,3
NN,help,3
NNP,Tymnet,1
VBG,linking,1
NNS,specialists,1
VBD,took,11
NN,hunt,1
S-ADV,NP-SBJ ADVP-TMP VP,1
VBG,tracing,1
NP-SBJ,DT NNPS NNPS,1
VP,ADVP-TMP VBD NP,1
VP,VBN NP PP-CLR S-PRP,2
VBN,invited,1
NP,DT NP CC NP,5
NNP,NSA,1
VB,brief,1
JJ,high-ranking,1
NNS,officers,2
NN,theft,3
VBD,savored,1
NN,humor,1
JJ,uncombed,1
JJ,buttoned-up,1
NNS,chaps,1
S-ADV,NP-SBJ ADVP-LOC-PRD,1
ADVP-LOC-PRD,RB PP,1
VP,ADVP-MNR VBN NP PP PP-PRP,1
RB,violently,1
VBN,scolded,1
NP-LGS,DT JJ NN NN,1
JJ,left-wing,1
NN,lady,1
PP-PRP,IN S-NOM,3
VBG,consorting,1
JJ,angry,1
NN,hatred,1
JJ,grudging,1
NN,appreciation,2
NP,DT JJ `` NNS '',1
NNS,spooks,1
NP-PRD,PRP$ NN,1
JJ,fascinating,1
NNP,Melloan,1
JJ,deputy,1
NN,editor,3
NNP,Journal,7
NNP,Mips,18
NNP,Computer,2
VB,unveil,1
JJ,general-purpose,2
JJ,expensive,4
NNP,Sun,3
NNPS,Microsystems,1
NNP,Digital,4
NNP,Equipment,2
NNP,Corp,4
NP-SBJ,DT ADJP NAC-LOC NN,1
NNP,Sunnyvale,1
VB,announce,2
VB,supply,2
NNP,Control,6
NNP,Data,6
NN,label,3
NN,RC6280,2
VB,cost,1
CD,"150,000",1
JJ,basic,3
VBZ,processes,2
NNS,instructions,1
IN,per,2
VP,"VBZ NP , PP",1
NP,QP JJ VBG NN,1
VBG,processing,1
NN,chip,2
JJ,rival,1
NNS,processors,2
VBZ,employs,3
NP,JJ JJ NN PRN NN,1
JJ,reduced,2
JJ,instruction-set,1
NN,computing,1
PRN,", CC NNP ,",1
NNP,RISC,5
S,PP PRN NP-SBJ VP .,1
JJ,familiar,3
QP,IN TO CD NNS,1
S-TPC,PP-LOC NP-SBJ VP,1
NP-PRD,DT ADJP NN,3
RB,tremendously,1
JJ,high-performing,1
NNP,Sandy,1
NNP,Gant,2
NP,DT JJ NN NNP,1
JJ,market-research,1
NNP,InfoCorp,2
NN,supplier,1
PP,"PP , RB ADVP PP",1
JJ,integrated-circuit,1
VB,wedge,1
NP,JJ NNP NNS,3
NNS,applications,1
PP,PP CC PP-PRP,1
VP,ADVP-MNR VBZ SBAR,1
VBZ,demonstrates,1
NP-PRD,NP CONJP NP,2
NP,RB DT NN NN,1
NNP,Hime,1
NP-SBJ,DT NNP NNP NN,5
VP,VBZ NP-PRD SBAR-PRP,1
NN,boon,1
VP,VBZ NP NP SBAR-TMP,1
NP,DT DT JJ NN,1
JJ,five-year-old,1
VBZ,battles,1
NP,ADJP JJ NNS,1
JJ,established,1
NNS,concerns,4
NNP,Hewlett-Packard,3
NNP,Motorola,1
NNP,Intel,1
VBG,emerging,1
NP-SBJ,NNP NN,2
VP,VBZ PRT NP PP-MNR,1
VBZ,speeds,1
VBG,simplifying,1
S,PP NP-SBJ VP .,2
VP,VBZ NP NP-TMP,2
JJ,big-name,1
JJ,essential,1
NN,architecture,1
VP,VBP PP-PRD ADVP-TMP,1
NN,roll,1
RB,right,6
NNS,wins,2
PRP,she,10
S,"NP-TMP , PP , NP-SBJ VP .",1
JJ,Last,7
NNP,Nixdorf,2
NNP,AG,1
NNP,Groupe,1
NNP,Bull,2
NNP,Tandem,1
NNPS,Computers,1
VBN,agreed,4
NNP,MIPS,1
NNP,NEC,1
NNP,Siemens,1
NNP,A.G.,1
NNS,chips,1
NN,license,2
NP,NN POS,7
NP,JJ JJ NN NNS,5
NNP,Logan,1
JJ,computer-market,1
NNP,Aberdeen,1
NNP,Group,12
NP-PRD,DT NN NN,3
NN,mainframe,1
S,"`` S-TPC , NP-SBJ VP .",2
S-TPC,ADVP NP-SBJ VP,1
RB,Suddenly,1
NNP,CDC,1
NN,VAX9000,1
VP,VBD NP-TMP NP,1
NNP,Minneapolis,1
NNP,Minn.,2
VP,VB PP-CLR PP-TMP,1
VB,amount,2
NP-SBJ,"NNP , NNP CC NNS",1
NNS,versions,5
NNP,Miller,2
VBG,shipping,1
NN,processor,1
ADJP,JJR SBAR,1
JJR,easier,3
VB,program,1
VBG,competing,1
VB,process,1
CD,13.3,1
NNS,calculations,1
JJ,floating-point,1
VBG,brewing,1
VP,VB PP-CLR PP ADVP-MNR,1
NN,savings-and-loan,1
NN,bailout,6
VBG,adding,2
NN,deficit,2
NP,DT NNP NNPS CC NNPS NNP,1
NNPS,Ways,2
NNPS,Means,2
NNP,Accounting,2
NNP,Congressional,2
NNS,arms,5
VBD,advised,1
NN,S&L,4
VB,abandon,1
NP,NNS S,4
JJ,working,5
VBN,issued,4
VBN,counted,2
NNS,Officials,3
NNP,Resolution,1
NNP,Trust,6
VP,VBN ADVP-MNR SBAR,1
RB,privately,3
VP,VBD NP-PRD S-PRP,1
RB,Instead,6
NNP,GAO,1
NNP,RTC,7
NN,oversight,1
NN,spending,1
VBN,exempted,1
VBG,meeting,2
JJ,deficit-reduction,1
NNP,Gramm-Rudman,2
QP,IN $ CD CD TO $ CD CD,1
VP,VBN NP ADVP-CLR SBAR-TMP,1
JJ,sick,2
NNS,thrifts,2
VBZ,allows,2
VB,issue,4
CD,85,1
S-TPC,CC NP-SBJ VP,3
JJ,off-budget,1
NNS,billions,2
NN,scrutiny,3
NP-SBJ,NNPS CC NNPS NNS,1
S-TPC,S-SBJ VP,1
S-SBJ,NP-SBJ VP,1
JJ,massive,1
JJ,unfettered,1
JJ,prior,2
NP-SBJ,"NP PRN , SBAR",1
NNP,Fortney,1
NNP,Stark,1
NN,authority,2
VP,VB CC VB NP PP-TMP,1
VB,merge,2
NNS,hundreds,4
JJ,insolvent,1
NP-SBJ,DT JJ NN NN NN,2
NP-SBJ,QP -NONE-,2
VBN,spent,2
NNS,S&Ls,1
NN,cost,6
NN,meantime,1
VB,maintain,2
VP,VBN NP ADVP-CLR PP,2
NNP,Mullins,1
VP,"VP , RB VP",2
VP,"VB NP , PP-MNR",1
NNS,savings,1
JJ,bad,1
VB,hold,7
JJ,favorable,3
VBN,determined,1
VP,VB NP ADVP-MNR,10
VP,"VB S , SBAR-PRP",1
VBN,included,1
VP,`` VB '' NP PP-MNR,1
VB,distort,1
VBG,requiring,1
NP,CC NP CC NP,1
NNS,exemptions,1
JJ,big,12
JJS,worst,2
VP,VB S-NOM-PRD,1
S-NOM-PRD,NP-SBJ VP,1
S,"`` SBAR-ADV , '' PRN , `` NP-SBJ VP .",1
VBN,provided,2
VP,VB PRN,1
VB,dump,1
NNP,Panhandle,2
VP,"VBD , PP , PP-CLR PP-PRP",1
VBD,applied,2
NN,behalf,4
NNS,subsidiaries,3
NNP,Energy,3
NNP,Regulatory,1
NN,permission,2
NP,"DT JJ , ADJP NN NN",1
JJ,352-mile,1
CD,273,1
NN,pipeline,3
PP,PP PP,5
NNP,Pittsburg,1
NNP,County,13
NNP,Okla.,1
NNP,Independence,1
NNP,Miss,1
JJ,natural,3
NP-SBJ,DT NAC NN NN,1
NAC,NP NP-ADV,1
JJ,cubic,1
NN,capacity,1
NP,DT VBN NN NN,1
NN,joint,2
NP,NNP NNP NNP NNP CC NNP NNP NNP,1
NNP,Transmission,2
NNP,Trunkline,1
VB,operate,1
VB,connect,1
NNP,Arkoma,1
JJ,interstate,1
NNS,pipelines,1
SQ,ADVP VBD NP-SBJ NP-PRD .,1
NN,cup,2
FRAG,"NP , SBAR-ADV .",1
JJ,gripping,1
NN,question,3
NN,pastry,3
NN,chef,2
NP,NP NNP NNP NN,2
NN,city,3
NNP,Chez,4
NNP,Panisse,4
NN,restaurant,4
VBP,'ve,5
JJ,priceless,1
NN,dessert,1
NN,notebook,1
VP,VBN NP PP-LOC-CLR NP-TMP PP,1
NP-LGS,NNP NN,1
NNP,Connoisseur,1
JJ,tattered,1
NN,binder,1
VBG,bulging,1
NP,CD NNS POS,1
NN,worth,2
NNS,recipes,4
NN,rubber,1
NNS,bands,1
VP,VBD PP-LOC-PRD SBAR-TMP,1
NP,NN NNP NNP POS,1
NNP,Lindsey,1
NNP,Shere,6
NN,purse,1
VP,VBN NP PP-DIR ADVP-TMP ADVP-TMP,1
NN,house,3
NNS,police,1
NNS,leads,1
VB,doubt,1
NN,crime,2
VBN,driven,1
NN,passion,2
NNS,sweets,1
VBP,figure,1
NN,culprit,1
NN,wallet,1
VBD,discarded,1
NNS,tips,1
JJ,five-by-eight-inch,1
NN,looseleaf,1
SBAR,"WHNP , NP , S",1
WHNP,WP$ NN,6
NNP,Alice,1
NNP,Waters,1
NN,inventor,1
JJ,cooking,1
NN,style,2
NN,cuisine,1
NNS,patrons,1
NNS,reservations,1
PP-TMP,NP IN NP,2
VP,VBZ RB ADVP VP,1
RB,exactly,3
VP,VBN NP PP-CLR PP-PRP,1
VBN,subjected,1
NN,vanilla,1
NN,ice,1
NN,cream,1
VB,draw,3
NP,"NP , VP , SBAR",1
NP,PRP NN,1
PRP,her,3
NN,cookbook,1
VBN,published,1
NNP,Random,1
VBG,teeming,1
NNS,specialties,2
NN,kiwi,1
NN,sherbet,1
NP,NP -LRB- NP -RRB-,1
NN,gooseberry,1
NN,fool,1
JJ,creamy,1
NN,dish,1
JJ,crushed,1
JJ,stewed,1
NNS,berries,1
NP,NN `` FW FW FW FW,1
NN,hazelnut,1
FW,oeufs,1
FW,a,1
FW,la,1
FW,neige,1
JJ,sympathetic,1
NNS,copies,1
VBN,clipped,1
S,"ADVP , NP-SBJ PRN VP .",1
JJ,ever-changing,1
NN,menu,1
JJ,five-course,1
NNS,dinners,1
PRN,: S :,2
RB,supposedly,1
VBN,repeated,1
NN,meal,1
CD,1971,2
JJ,constant,2
NN,improvisation,1
VP,VBZ NP PP-PUT,2
VBZ,puts,2
JJ,added,1
NP,NNP NNP NN NNS,1
NN,dessert-menu,1
NNS,planners,1
VP,VBP SBAR-NOM,1
NNP,Mazzera,1
NNP,Area,1
NN,community,4
VBP,express,1
NN,disbelief,1
NN,copy,1
JJ,moral,1
NP,NP NNP,3
NNP,Baker,1
NNP,Dozen,1
NNS,chefs,1
VP,VBZ ADVP-MNR S-PRP,1
VBZ,meets,2
RB,regularly,2
VB,discuss,4
PP,VB SBAR,1
VP,VB NP PP-CLR ADVP-MNR,1
NNS,meringues,1
PP-CLR,IN VP,1
VBG,weeping,1
JJ,bovine,1
JJ,eating,1
VP,VBP NP ADVP-MNR,1
VBP,affect,1
NN,butter,2
NN,texture,1
NN,reward,1
VBZ,figures,1
MD,'ll,6
VB,reinvent,1
NN,scratch,1
S,"`` S , '' NP-SBJ VP .",1
JJ,overwhelming,1
VP,VBP NP-PRD SBAR-TMP,1
NP-PRD,QP JJ NNS,1
QP,RB JJ,1
VP,VBP SBAR ADVP-TMP,1
VBP,consider,2
PP-CLR,IN PP,3
NP,NNS CC NN CC NN,1
NN,milk,6
NNP,Newport,3
NNPS,Electronics,1
VP,"VBD NP , NP-ADV",1
VBD,named,3
NN,slate,2
NP,NP CD JJ NNS,2
JJ,incumbent,1
NNP,Milton,1
NNP,B.,3
NNP,Hollander,5
NNP,Barrett,1
NNP,Weekes,5
NP-SBJ,NP ADJP NNP NNP NNP NNP,1
ADJP,"NNP , JJ",1
NNP,Stamford,2
JJ,Conn.-based,1
NNP,High,1
NNP,Technology,1
NNP,Holding,2
VBD,acquired,4
CD,49.4,1
VP,"VBN S NP-TMP , S-ADV",1
VBN,ousted,2
NNS,requests,3
NNP,Wakeman,3
NNS,titles,1
NN,instrument,1
NNS,controls,3
NP,ADJP NNP NNP NNP,1
NNP,Omega,1
NNP,Engineering,1
VBN,controlled,2
VB,know,3
NP-SBJ,"NP , NP , NP ,",3
NNP,Lees,1
VBG,assuming,2
NNP,Arthur,1
NNP,Crozier,1
CD,34,1
NN,attorney,11
NNP,Virtue,1
NNP,UNIFIRST,1
VBD,declared,2
JJ,2-for,1
NN,split,6
NP-SBJ,DT NAC-LOC NN NN NN,1
NNP,Wilmington,2
NN,garment,1
VP,VBD NP NP-ADV PP-CLR,1
VBD,boosted,1
NN,dividend,5
NP-PRD,NP NP-ADV,1
NP-SBJ,DT NX,1
ADJP-PRD,JJ NP-TMP PP,1
NNP,Jan.,2
CD,16,5
VP,VB NP PP-DIR,6
NP,IN CD CD,1
CD,10.2,1
NNP,UniFirst,2
VP,"VBD SBAR , PP",1
VP,VBD NP-ADV PP-DIR,1
VBD,earned,2
CD,52.4,1
CD,50.1,1
NNP,Fibreboard,1
NP,NP PP PP PP,1
JJ,reported,1
CD,"27,500",1
NNS,acres,1
NN,timberland,1
NNP,Truckee,1
NP,ADJP NNP NNP NNPS NNP,1
NNP,Sierra,1
NNP,Arcata,1
CD,32.5,1
NP-SBJ,"DT NN , NN CC NN NN",1
NN,lumber,1
NN,insulation,1
NN,fireproofing,1
NN,swap,1
NN,timber,2
VB,result,1
CD,13.5,1
JJ,after-tax,1
VBN,recorded,2
NNP,Healthcare,14
VP,VBD NP PP-CLR VP,1
VBD,reached,2
JJ,120-day,2
NN,standstill,1
NNP,HealthVest,12
NN,affiliate,1
VP,VB NP NP ADVP-TMP,1
NN,health-care,2
CD,3.9,1
NP,JJ NN CC NN NNS,4
JJ,overdue,2
NN,rent,6
NNS,payments,15
VB,repay,1
CD,1.1,2
VBD,advanced,1
VB,exercise,1
NNS,remedies,1
S,"PP-TMP , NP-SBJ ADVP-TMP VP .",1
NN,payment,5
PP-PRD,NP IN NP,1
NNS,arrears,1
NN,trust,13
NN,portfolio,2
VP,VBZ ADVP PP-CLR,1
VBZ,consists,2
NNS,properties,4
VBN,operated,1
NP,"NP PP , SBAR",7
NN,note,4
NN,amount,6
NN,addition,4
VP,"VB NP PP-TMP , SBAR",1
NP,NP PP PP SBAR,2
QP,$ CD CD TO $ CD CD,2
CD,2.7,1
JJ,standstill,1
VP,ADVP-MNR VBZ NP ADVP-TMP,1
VBZ,completes,1
NN,asset,2
VP,VBZ NP NP NP-TMP,1
VBZ,owes,1
VBN,added,2
NN,bind,2
VP,VBN ADJP-PRD SBAR-PRP,1
VP,VBD NP PP-DTV PP-TMP,1
VBD,owed,1
NNS,negotiations,4
VP,VBN PP-LOC-PRD,1
JJ,severe,2
NN,liquidity,2
VP,VBZ ADJP-PRD SBAR-PRP,1
NNP,Greenery,2
NNP,Rehabilitation,1
VP,VP CC VP PP-LOC,4
VBD,purchased,1
NP,NN CC NNS,4
NNS,warrants,4
QP,$ CD,1
CD,"500,000",4
VBD,loaned,1
VBN,backed,6
CD,5.4,1
JJ,pleased,2
VB,note,1
NP-SBJ,PRP$ NNP CD NNP NNP NN,1
NNP,Centennial,1
NN,item,2
VBD,recognized,1
NN,money-fund,2
NNS,events,3
S,"ADVP , ADVP-TMP , NP-SBJ VP .",1
RB,Actually,1
NP,IN CD NNS,1
VBD,listed,1
NN,creation,2
NP,DT CD ADJP NNS,1
JJ,20th,1
S,"CC S , CC SINV .",1
SINV,VBD NP-SBJ VP,1
NP-SBJ,"NP PP , NP",1
NNS,creators,1
NNP,Harry,1
NNP,Brown,2
PRP,myself,3
VBD,innovated,1
NNS,redemptions,1
NN,elimination,2
ADJP,$ CD -NONE- JJ,1
JJ,pershare,1
NN,pricing,2
UCP-PRD,VP CC RB NP,1
VP,ADVP-MNR VBN NP ADVP-CLR,1
RB,painfully,1
VBN,thought,1
NN,inadvertence,1
NN,President,1
JJ,crowning,1
NN,career,3
NNP,Joseph,1
NNP,O'Kicki,13
VP,VBD SBAR-TMP,2
NP-SBJ,CD UCP NNS,1
NNS,dignitaries,1
VP,VBD PP-DIR NP-TMP PP-PRP,1
VBD,packed,1
NP,"PRP$ JJ , JJ NN",2
JJ,marble-columned,1
NN,courtroom,3
NP,PRP$ NN RB,1
NN,swearing,1
NNP,Judge,22
NNP,Cambria,11
NNS,Baskets,1
NNS,roses,1
JJ,potted,1
NNS,palms,1
VBD,adorned,1
NN,bench,5
NP-SBJ,DT JJ NNP NNP NN NN,1
NNP,Legion,1
NN,guard,1
VBD,led,3
NN,judge,54
VBD,marched,1
IN,down,2
NN,aisle,1
NP,PRP$ VBG JJ NN,1
VBG,flowing,2
NN,robe,1
VBN,heralded,1
NN,trumpet,1
NN,fanfare,3
NN,ceremony,1
VP,ADVP JJ NP PP,1
ADVP,ADVP PP,4
JJ,befitting,1
NN,king,2
JJ,rural,3
VBN,seated,1
JJ,isolated,1
NNS,foothills,1
NNP,Allegheny,1
NNPS,Mountains,1
S,CC RB NP-SBJ ADVP-TMP VP .,1
VBD,behaved,1
NP-PRD,NP : CC PRN NP,1
JJ,arrogant,1
NN,vulnerability,1
NNS,communities,2
JJ,domineering,1
NNS,judges,4
S,"NP-TMP , PP-TMP , NP-SBJ VP .",1
NN,swearing-in,1
NP,DT NN NN NN POS,2
NN,general,5
VBD,indicted,1
JJ,sweeping,1
NN,array,1
VBG,alleging,3
NP,`` NP '' PP-LOC,2
NN,oppression,2
NP,DT JJ NN CC NN NN,1
JJ,depressed,2
NN,steel,1
NN,mining,1
JJ,western,2
NNP,Pennsylvania,8
NNS,allegations,6
VBG,ranging,2
NN,bribery,1
NN,coercion,1
NN,lewdness,1
VBP,paint,1
JJ,disquieting,1
NN,picture,2
NP,"DT NN , JJ NN NN",1
JJ,80-page,1
NN,grand-jury,1
VP,VBD NP ADVP-DIR PP-CLR,1
VBD,handed,1
VP,"VP , VP CC VP PP-TMP",1
VBD,extorted,1
VBD,muscled,1
VBD,bullied,1
QP,JJR IN DT,1
NN,decade,4
S,"NP-SBJ , PP-LOC , VP .",1
NNS,Prosecutors,1
NN,indictment,2
JJ,grand,8
NN,jury,10
VP,VP : VP : VP : CC VP,1
VBD,owned,2
JJ,secret,1
NN,distributorship,1
VBD,plotted,1
JJ,hidden,1
VBD,presented,1
JJ,alleged,1
JJ,dummy,1
NN,corporation,9
VP,VP CC VP PP-BNF,1
VB,obtain,1
PP-BNF,IN NP,2
NN,girlfriend,1
PRN,-LRB- ADVP-TMP NP -RRB-,2
NN,wife,3
VP,VBD NP PP-LOC-CLR,1
VBD,maintained,2
NN,court,16
ADJP,ADVP-TMP NP JJ,1
VBD,harassed,1
NNS,secretaries,2
JJ,imperial,3
NNS,demands,2
VBD,hounded,1
NN,anyone,4
VBD,crossed,1
NNS,Bailiffs,1
VBD,claimed,2
VP,"VP , VP , VP , VP CC ADVP VP",1
VB,chauffeur,1
PP-DIR,TO CC IN NP,1
VB,mow,1
NN,lawn,1
VB,chop,1
NN,wood,1
VB,fix,1
VB,drop,2
VB,feed,1
NP,PRP$ CD JJ NNS,1
JJ,grown,1
NNS,mutts,1
NNP,Dixie,1
NNP,Husky,1
NN,bailiff,1
VBD,charged,2
VBD,double-crossed,1
VP,VBG PP PP-TMP,1
VBG,reneging,1
NN,promise,2
JJ,paying,1
VBG,pocketing,1
NN,bribe,1
JJ,bizarre,2
NP-SBJ,CD JJ NNS,2
VP,"VBN NP PP-CLR PP-TMP S-PRP , S-ADV",1
VBN,summoned,1
NNS,chambers,2
NNS,occasions,1
NN,dictation,1
S-ADV,NP-SBJ ADVP VP,1
VB,find,4
NN,bikini,1
NN,underwear,1
VBD,testified,3
VP,VBD NP PP-CLR SBAR-TMP,1
ADVP,IN DT,3
S,"NP-SBJ , S-ADV , VP . ''",1
VP,VBN NP PP-CLR PP,1
VBG,pending,2
NN,trial,5
VP,"ADVP-MNR VBZ NP , S-ADV",1
VBZ,denies,1
S,NP-SBJ UCP-PRD,1
UCP-PRD,`` ADJP '' CC `` NP,1
JJ,ludicrous,1
NN,demagoguery,1
VBZ,blames,1
NN,feuding,1
NN,unhappiness,1
NP,PRP$ JJ NNS S,1
NN,courthouse,2
NN,docket,1
NN,vendetta,1
NNS,investigators,2
NNS,prosecutors,7
VBN,angered,1
NNS,rulings,1
NNS,toes,2
VBN,stepped,1
VP,"VB ADVP-CLR , ADVP-TMP , SBAR",1
VBD,pushed,1
NN,police,3
NNS,buttons,1
S,"SBAR-ADV , ADVP , NP-SBJ VP .",1
NP,RB DT,3
VP,VBP PRT,1
VBP,stand,1
VBP,provide,1
JJ,ample,2
JJ,awesome,1
VP,"JJ NP , SBAR-PRP",1
JJ,abused,1
SBAR-PRP,ADVP IN S,1
NNS,jurists,1
NNS,jurisdictions,1
VP,VBP PP,1
VBP,operate,1
NNS,restraints,1
VP,VBP PP-CLR PP-LOC,1
VBP,serve,1
JJ,corrective,1
NNS,measures,3
JJ,urban,2
NNS,areas,5
NNS,Lawyers,1
NNS,clients,18
VP,VBP NP PP-DIR,1
VBP,bring,2
VP,VB PP-LOC-CLR NP-TMP,1
NN,Fear,1
VBG,alienating,1
JJ,pervasive,1
NNP,Maurice,1
NNP,Geiger,2
NNP,Rural,1
NNP,Justice,2
NNP,Montpelier,1
NNP,Vt.,1
VBZ,researches,1
S,PP-PRP PRN NP-SBJ VP .,2
PRN,", SINV ,",1
SINV,VP NP-SBJ,1
VP,VBP ADVP-TMP PP-TMP,1
RB,twice,1
PP-TMP,RB S-NOM,1
RB,before,1
NN,ruling,9
JJ,reluctant,2
VP,"VP , CC ADVP VP , NP",1
VB,mount,1
VB,support,3
NNS,challenges,2
VP,VBP ADVP-TMP ADJP-PRD,1
JJ,loath,1
NNS,complaints,1
VB,impugn,1
NN,integrity,1
JJ,stern,1
JJ,forbidding-looking,1
VP,VBN NP-PRD PP-TMP,1
NN,fixture,1
NNS,decades,1
S-ADV,NP-SBJ NP-PRD,2
NN,son,2
JJ,immigrant,1
NN,stonemason,1
JJ,Slovenian,1
NN,descent,1
NN,borough,1
IN,outside,4
NNP,Ebensburg,4
VBD,put,3
NP,DT NAC NNP NNP,2
NNP,Law,3
NNP,School,2
VP,"VBD PP-LOC-CLR , S-ADV",1
VBD,graduated,1
NN,class,3
VP,VBG PP-CLR PP,1
VBG,serving,1
NN,school,3
NNP,Thornburgh,1
VP,VBD PRT S,2
NP-PRD,NP CC PRN NP,1
NN,governor,2
PRN,", ADVP-TMP ,",1
NNP,Attorney,2
,S-CLF,3
S-CLF,NP-SBJ VP .,1
VP,VBD ADVP PP-PRD SBAR,1
WHADVP,IN,1
NNS,daughters,1
VBD,divorced,1
VBD,married,1
NN,daughter,1
NN,clerk,1
S,"NP-TMP , NP-SBJ VP . ''",1
NP-SBJ,NNP NNP NNP NNP NNP NNP NNP,1
NNP,Supreme,3
NNP,Court,8
NNP,Flaherty,1
NP,NP `` PP-LOC,1
JJS,finest,1
PP-LOC,CONJP PP CC PP,1
RB,Clearly,1
NNS,accomplishments,2
VP,VBG NP ADVP-LOC,1
VBG,practicing,1
RB,locally,1
JJ,10-year,2
NN,term,2
CD,1981,3
RB,effectively,1
VBN,re-elected,1
CD,Six,1
VP,VBN S PP,9
VBN,voted,1
NNP,Conference,1
NNP,Trial,1
NNP,Judges,1
NP-LGS,NP CD NNS,1
VP,VBN NP NP-TMP PP-CLR,1
NP-TMP,JJ NNS,1
NNS,appointments,1
NP,JJ NN CC JJ NN NNS,1
NN,district,7
JJ,appellate,3
NNS,vacancies,1
VP,VBD ADVP PP-CLR PP-TMP ADVP-TMP,1
RB,unsuccessfully,1
NP,DT NN JJ NN NN,1
CD,1983,3
VP,"VBD S , '' PP-TMP",1
VBD,rated,1
NP,DT RBS,1
RBS,best,2
VBG,interviewing,1
JJS,smartest,1
VP,VBD PP-LOC-CLR,1
NP-SBJ,"NP PP , SBAR",1
JJ,150-member,2
NN,bar,3
S,NP-SBJ PRN VP,1
PRN,", PP ,",3
VP,VBZ S ADVP-MNR,1
VBZ,refuses,1
VP,VB PP-CLR ADVP-MNR,2
VB,talk,3
-NONE-,*PPA*,2
RB,publicly,5
NN,tack,1
VB,grasp,1
NN,blink,1
NN,eye,2
NP-SBJ,RB DT NN,3
SINV,`` FRAG : . '' VP NP-SBJ SBAR-TMP .,1
FRAG,WHNP PP,1
VBN,supposed,2
NN,bedrock,1
NN,society,2
:,...,13
VP,VBD FRAG,1
NN,columnist,1
NNP,Tribune-Democrat,1
NN,newspaper,4
JJ,nearby,1
NNP,Johnstown,3
RB,shortly,1
NN,scandal,2
S,"`` SBAR-ADV , NP-SBJ VP . ''",1
SBAR-ADV,IN RB S,1
NN,banker,1
VP,VBN PRT ADVP-TMP,1
VBN,spoken,2
JJ,judicial,3
NN,taint,1
VP,VBZ NP-PRD NP-TMP,1
NP,DT NNP NNP NNP CC NNP NNP,1
NNP,Judicial,2
NNP,Inquiry,2
NNP,Review,2
NN,arm,4
VBZ,investigates,1
NN,misconduct,1
VBP,counter,1
NN,inkling,1
NP,NP ADJP PP-LOC,1
JJ,amiss,1
S-TPC,S : S,1
NN,Nobody,2
NN,nobody,1
NP-SBJ,NP ADVP-LOC SBAR,1
ADVP-LOC,NN PP,1
NNS,guts,1
VP,VB ADVP,3
VB,complain,4
FRAG,RB RB NP .,1
RB,Certainly,1
NP-SBJ,NNP NN NNP NNP NNP NNP,1
NNP,Green,9
VP,VBD PRT NP PP-DIR PP-TMP,1
VBD,shelled,1
VP,VBD SBAR PP-LOC,2
NN,pretense,1
VBG,repaying,1
PRN,", NP-SBJ VP ,",1
VP,VP PP SBAR-TMP,1
VBG,ducking,1
PP,RB IN VP,1
VB,face,2
VP,VBD NP ADVP-TMP PP-TMP,1
CD,"240,000",1
NN,verdict,1
NN,land,4
NN,condemnation,1
